f,1,2,3,4,5,6
102,0.5564,0.1039,0.1372,0.051,0.0804,0.0712
103,0.3613,0.1066,0.2265,0.0826,0.1106,0.1123
104,0.5853,0.0943,0.1311,0.045,0.0793,0.065
105,0.0898,0.0467,0.1712,0.3524,0.0733,0.2666
106,0.0905,0.0442,0.4915,0.0681,0.1279,0.1778
107,0.0853,0.0444,0.2411,0.0964,0.1001,0.4326
108,0.0956,0.049,0.3155,0.0916,0.1235,0.3248
109,0.1666,0.0678,0.4197,0.065,0.1654,0.1156
110,0.0874,0.042,0.5356,0.0606,0.1271,0.1473
111,0.1035,0.0526,0.3793,0.0811,0.1561,0.2273
112,0.402,0.135,0.1783,0.0536,0.1464,0.0847
113,0.5566,0.0998,0.1404,0.05,0.0823,0.0709
114,0.4011,0.1031,0.2158,0.0661,0.1165,0.0974
115,0.2892,0.3072,0.144,0.0659,0.1021,0.0915
116,0.0834,0.043,0.2503,0.0935,0.0981,0.4318
117,0.3759,0.2396,0.1416,0.063,0.0941,0.0859
118,0.2446,0.0895,0.3002,0.1073,0.116,0.1424
119,0.2876,0.3041,0.1455,0.0668,0.1032,0.0927
120,0.2839,0.3311,0.1376,0.062,0.0988,0.0867
121,0.4305,0.1105,0.1906,0.0558,0.1263,0.0862
122,0.2873,0.2992,0.1472,0.0679,0.1043,0.0941
123,0.2827,0.3016,0.1476,0.0681,0.1052,0.0946
124,0.0902,0.0451,0.3643,0.087,0.1118,0.3016
125,0.2863,0.2929,0.1496,0.0695,0.1058,0.0961
126,0.3284,0.1047,0.2421,0.0909,0.1127,0.1212
127,0.3681,0.1109,0.2166,0.0844,0.1078,0.1122
128,0.2825,0.2806,0.1546,0.0727,0.1092,0.1003
129,0.6207,0.0982,0.1118,0.0422,0.0681,0.0591
130,0.3074,0.1201,0.2187,0.0593,0.197,0.0975
131,0.2624,0.0894,0.3089,0.0877,0.1241,0.1275
132,0.3325,0.279,0.1411,0.0636,0.0966,0.0873
133,0.4059,0.303,0.108,0.0432,0.078,0.062
134,0.3918,0.3113,0.1099,0.0445,0.0789,0.0636
135,0.1161,0.0597,0.3344,0.0692,0.2621,0.1585
136,0.2461,0.3007,0.1555,0.0623,0.1396,0.0958
137,0.1093,0.0612,0.1819,0.0494,0.5007,0.0974
138,0.4854,0.1294,0.1501,0.0473,0.1148,0.0731
139,0.0869,0.0465,0.1616,0.0395,0.5866,0.079
140,0.084,0.041,0.1766,0.4246,0.0641,0.2097
141,0.125,0.0682,0.2905,0.086,0.2232,0.2071
142,0.2445,0.3223,0.1494,0.0604,0.1313,0.0921
143,0.5023,0.1017,0.1655,0.0549,0.096,0.0796
144,0.2605,0.2243,0.1779,0.0896,0.125,0.1227
145,0.244,0.336,0.1452,0.0584,0.1274,0.089
146,0.0595,0.0322,0.0911,0.0234,0.7494,0.0444
147,0.1867,0.1258,0.2078,0.0721,0.2802,0.1273
148,0.2533,0.4472,0.107,0.0406,0.0905,0.0614
149,0.1644,0.068,0.4108,0.0638,0.178,0.115
150,0.419,0.248,0.1238,0.052,0.0846,0.0726
151,0.3214,0.1056,0.2418,0.0948,0.1122,0.1242
152,0.0789,0.0426,0.1386,0.0348,0.6365,0.0687
153,0.721,0.0735,0.0819,0.0296,0.0517,0.0423
154,0.4131,0.2401,0.1288,0.0549,0.087,0.0761
155,0.2462,0.2659,0.1658,0.0653,0.155,0.1019
156,0.0724,0.8421,0.0306,0.0123,0.0244,0.0182
157,0.0745,0.0323,0.6863,0.0465,0.0721,0.0883
158,0.3197,0.4111,0.0986,0.0379,0.0767,0.0559
159,0.2469,0.2742,0.1631,0.0643,0.1514,0.1001
160,0.1115,0.0579,0.1769,0.379,0.0792,0.1955
