f,1,2,3,4,5,6
1362,0.0841,0.0406,0.355,0.1006,0.0862,0.3335
1363,0.0982,0.0417,0.6022,0.0606,0.0875,0.1098
1364,0.0834,0.0403,0.4839,0.0757,0.0987,0.218
1365,0.0818,0.0403,0.3302,0.0926,0.09,0.3651
1366,0.0827,0.0397,0.4799,0.0786,0.0933,0.2258
1367,0.0865,0.04,0.5109,0.0854,0.0839,0.1933
1368,0.0822,0.0394,0.4911,0.0764,0.094,0.2169
1369,0.0802,0.0378,0.5236,0.0762,0.0853,0.1969
1370,0.0477,0.0239,0.145,0.0737,0.0477,0.6621
1371,0.0793,0.0378,0.5282,0.0709,0.0912,0.1926
1372,0.1794,0.0702,0.4144,0.0689,0.149,0.1182
1373,0.0817,0.039,0.4952,0.077,0.0915,0.2156
1374,0.1361,0.0629,0.3534,0.0583,0.2758,0.1135
1375,0.0863,0.0414,0.3679,0.1045,0.086,0.3139
1376,0.0834,0.0403,0.5161,0.0684,0.1062,0.1855
1377,0.0856,0.0416,0.4461,0.0803,0.1012,0.2452
1378,0.132,0.0612,0.3687,0.0585,0.2644,0.1152
1379,0.0992,0.0421,0.5988,0.0611,0.0881,0.1106
1380,0.0848,0.0409,0.3284,0.1114,0.083,0.3515
1381,0.0836,0.0404,0.3342,0.1056,0.0838,0.3523
1382,0.1715,0.0678,0.4287,0.0682,0.1459,0.1179
1383,0.5778,0.0952,0.134,0.046,0.0807,0.0664
1384,0.1423,0.065,0.3482,0.0586,0.2733,0.1125
1385,0.0742,0.0352,0.5781,0.0632,0.0861,0.1632
1386,0.1029,0.056,0.211,0.1465,0.1031,0.3805
1387,0.1441,0.0661,0.3322,0.0581,0.2887,0.1109
1388,0.1016,0.0516,0.3741,0.083,0.1471,0.2425
1389,0.0842,0.0408,0.4753,0.0765,0.1004,0.2229
1390,0.0861,0.0399,0.509,0.0853,0.084,0.1957
1391,0.1007,0.0474,0.5059,0.0571,0.1653,0.1235
1392,0.1154,0.054,0.4428,0.0586,0.2082,0.1211
1393,0.103,0.0473,0.4148,0.1191,0.0895,0.2263
1394,0.1302,0.0605,0.3737,0.0586,0.261,0.1159
1395,0.0811,0.0399,0.3251,0.0938,0.0879,0.3723
1396,0.1031,0.047,0.4327,0.1134,0.0896,0.2142
1397,0.105,0.0476,0.4383,0.1124,0.0901,0.2066
1398,0.1197,0.0558,0.4237,0.0588,0.2221,0.1199
1399,0.104,0.0467,0.4702,0.1022,0.0895,0.1874
1400,0.1115,0.0555,0.388,0.0661,0.2279,0.1509
1401,0.179,0.0702,0.4139,0.0685,0.1506,0.1179
1402,0.1285,0.0599,0.3765,0.0586,0.26,0.1166
1403,0.1093,0.0579,0.1817,0.3414,0.0832,0.2265
1404,0.1066,0.0537,0.3964,0.0744,0.1798,0.1891
1405,0.0833,0.0396,0.4756,0.0832,0.0887,0.2296
1406,0.1083,0.0555,0.3645,0.0806,0.1749,0.2162
1407,0.0814,0.04,0.3281,0.0937,0.0883,0.3685
1408,0.1062,0.0479,0.4452,0.1105,0.0905,0.1998
1409,0.0855,0.0419,0.3893,0.0875,0.0979,0.2981
1410,0.1062,0.0535,0.3992,0.0741,0.1788,0.1882
1411,0.1139,0.0566,0.3701,0.0639,0.2543,0.1413
1412,0.1123,0.0559,0.3824,0.0656,0.2354,0.1484
1413,0.1119,0.0557,0.3855,0.0658,0.2318,0.1493
1414,0.1064,0.0542,0.3773,0.0793,0.1696,0.2131
1415,0.1055,0.0475,0.4538,0.1075,0.0902,0.1955
1416,0.1059,0.0537,0.3872,0.0775,0.1709,0.2048
1417,0.1084,0.0556,0.3653,0.0803,0.176,0.2145
1418,0.1,0.0478,0.4914,0.0596,0.1678,0.1334
1419,0.114,0.0537,0.4391,0.059,0.211,0.1232
1420,0.0847,0.0413,0.3876,0.0893,0.0943,0.3029
1421,0.1115,0.0556,0.3875,0.0663,0.2277,0.1514
1422,0.1119,0.0557,0.3863,0.0657,0.2314,0.149
1423,0.1477,0.0627,0.3881,0.1236,0.1028,0.175
1424,0.1474,0.0625,0.3905,0.1225,0.1028,0.1743
1425,0.1093,0.0558,0.3714,0.0777,0.1851,0.2007
1426,0.108,0.0555,0.3582,0.0824,0.1704,0.2255
1427,0.1061,0.048,0.4397,0.1123,0.0905,0.2034
1428,0.0935,0.0444,0.5284,0.0573,0.147,0.1293
1429,0.1006,0.0546,0.2093,0.1439,0.1012,0.3904
1430,0.1051,0.0533,0.3838,0.079,0.1649,0.2138
1431,0.0951,0.0406,0.6202,0.0518,0.0952,0.0971
1432,0.2438,0.3164,0.1516,0.0625,0.1309,0.0948
1433,0.1039,0.0521,0.4079,0.0748,0.167,0.1943
1434,0.2423,0.263,0.1685,0.0705,0.1479,0.1079
1435,0.124,0.0531,0.4731,0.0958,0.097,0.157
1436,0.1569,0.0661,0.37,0.1282,0.1046,0.1743
1437,0.0865,0.0415,0.3366,0.1139,0.0837,0.3378
1438,0.0865,0.0415,0.3321,0.1154,0.0833,0.3412
1439,0.0676,0.0336,0.2305,0.0909,0.0701,0.5074
1440,0.0872,0.0418,0.3314,0.1177,0.0833,0.3386
1441,0.087,0.0418,0.324,0.1199,0.0827,0.3447
1442,0.0842,0.0407,0.3501,0.1026,0.0854,0.337
1443,0.0672,0.0333,0.2279,0.0923,0.069,0.5102
1444,0.0859,0.0413,0.348,0.1087,0.0846,0.3314
1445,0.0873,0.0419,0.3236,0.1211,0.0827,0.3433
1446,0.0667,0.0332,0.2261,0.0902,0.0692,0.5147
1447,0.1284,0.0729,0.2476,0.1187,0.1529,0.2797
1448,0.1241,0.0532,0.4716,0.0964,0.097,0.1577
1449,0.2425,0.3352,0.1463,0.0615,0.1224,0.092
1450,0.329,0.1008,0.2546,0.0664,0.1449,0.1042
1451,0.0677,0.0336,0.2308,0.0921,0.0698,0.5059
1452,0.0768,0.0381,0.2826,0.0919,0.0837,0.4269
1453,0.2464,0.3089,0.154,0.0671,0.1246,0.0991
1454,0.2448,0.2858,0.1614,0.0698,0.1339,0.1043
1455,0.2449,0.2922,0.1593,0.0687,0.1322,0.1026
1456,0.244,0.2927,0.159,0.0662,0.1376,0.1005
1457,0.0816,0.0405,0.3141,0.0912,0.0918,0.3809
1458,0.2395,0.3635,0.1383,0.0582,0.1139,0.0866
1459,0.0874,0.042,0.3182,0.1236,0.0823,0.3465
1460,0.2455,0.3115,0.1533,0.0663,0.1252,0.0983
1461,0.2431,0.3261,0.149,0.0623,0.126,0.0936
1462,0.0745,0.0372,0.2641,0.0903,0.0813,0.4527
1463,0.2382,0.2355,0.1775,0.0735,0.161,0.1143
1464,0.0738,0.0368,0.26,0.09,0.0804,0.459
1465,0.2445,0.3232,0.1498,0.0643,0.1228,0.0954
1466,0.2427,0.3313,0.1474,0.0611,0.1254,0.0921
1467,0.2434,0.3283,0.1484,0.0629,0.1232,0.0939
1468,0.076,0.0379,0.2741,0.0909,0.0833,0.4378
1469,0.0991,0.0534,0.2016,0.1633,0.0947,0.3879
1470,0.1339,0.0611,0.3897,0.0591,0.2406,0.1155
1471,0.1262,0.0715,0.2343,0.1348,0.1346,0.2986
1472,0.0854,0.0408,0.5572,0.0571,0.1246,0.1349
1473,0.2561,0.5112,0.0849,0.0336,0.0652,0.0491
1474,0.3355,0.2896,0.1349,0.0482,0.1178,0.0741
1475,0.1584,0.0977,0.2367,0.0874,0.2503,0.1695
1476,0.3199,0.3496,0.1194,0.044,0.1004,0.0667
1477,0.1066,0.0479,0.5322,0.0545,0.1495,0.1093
1478,0.1457,0.0651,0.3749,0.0599,0.2405,0.1139
1479,0.1153,0.055,0.4136,0.0598,0.2306,0.1257
1480,0.1156,0.0565,0.3737,0.061,0.2627,0.1305
1481,0.5283,0.1008,0.1533,0.0529,0.0891,0.0757
1482,0.1219,0.0504,0.5417,0.0658,0.1044,0.1157
1483,0.1175,0.0578,0.3015,0.0557,0.3534,0.114
1484,0.1209,0.0585,0.3379,0.0577,0.3069,0.118
1485,0.1753,0.1076,0.1945,0.0595,0.3574,0.1058
1486,0.1353,0.0773,0.1729,0.0487,0.4766,0.0892
1487,0.119,0.0494,0.5482,0.0657,0.102,0.1157
1488,0.1182,0.058,0.3147,0.0568,0.3355,0.1168
1489,0.0384,0.0194,0.0705,0.7553,0.0288,0.0875
1490,0.139,0.0636,0.3598,0.0588,0.2652,0.1136
1491,0.1122,0.0505,0.5073,0.056,0.1623,0.1118
1492,0.1168,0.057,0.3624,0.0602,0.2762,0.1274
1493,0.1082,0.059,0.2421,0.1159,0.1266,0.3482
1494,0.1254,0.0586,0.3888,0.0587,0.2504,0.1181
1495,0.1734,0.1053,0.1932,0.0584,0.3657,0.1041
1496,0.1536,0.0689,0.3394,0.0594,0.2672,0.1115
1497,0.1541,0.0664,0.3988,0.0616,0.2047,0.1144
1498,0.1186,0.0581,0.3222,0.0573,0.3258,0.1181
1499,0.1529,0.0682,0.3513,0.0599,0.2552,0.1125
1500,0.1164,0.0577,0.3039,0.0565,0.3486,0.117
1501,0.1784,0.1092,0.1944,0.0592,0.3539,0.1049
1502,0.1175,0.0574,0.3548,0.0596,0.2855,0.1253
1503,0.1767,0.1014,0.1921,0.0552,0.3768,0.0978
1504,0.155,0.085,0.1841,0.0502,0.4355,0.0902
1505,0.1495,0.0877,0.1834,0.0534,0.4288,0.0971
1506,0.1212,0.0582,0.3574,0.0585,0.2848,0.1199
1507,0.1763,0.1087,0.195,0.0599,0.3535,0.1066
1508,0.1563,0.0895,0.184,0.0523,0.4238,0.0941
1509,0.1568,0.0922,0.1861,0.0544,0.4123,0.0981
1510,0.1292,0.053,0.5244,0.067,0.1095,0.117
1511,0.1863,0.1024,0.1972,0.0551,0.3622,0.0969
1512,0.1558,0.0907,0.1847,0.0534,0.4192,0.0963
1513,0.1802,0.1165,0.2023,0.066,0.3175,0.1174
1514,0.1644,0.0974,0.189,0.0557,0.3937,0.0998
1515,0.1192,0.0582,0.3232,0.0572,0.3247,0.1175
1516,0.171,0.103,0.192,0.0576,0.3737,0.1028
1517,0.1786,0.1091,0.1942,0.059,0.3546,0.1046
1518,0.1738,0.1002,0.1911,0.0551,0.382,0.0978
1519,0.1612,0.0949,0.1876,0.0549,0.4026,0.0987
1520,0.2761,0.1957,0.1782,0.0594,0.1942,0.0965
1521,0.2289,0.1423,0.1953,0.0607,0.2699,0.103
1522,0.2114,0.1063,0.212,0.0568,0.315,0.0985
1523,0.2312,0.1475,0.1942,0.0613,0.2622,0.1036
1524,0.1156,0.0549,0.4192,0.0595,0.2264,0.1244
1525,0.2444,0.1487,0.1942,0.0601,0.2515,0.101
1526,0.2399,0.132,0.2007,0.0589,0.2688,0.0998
1527,0.2487,0.1502,0.1938,0.06,0.2468,0.1005
1528,0.2595,0.1553,0.1921,0.0597,0.2342,0.0993
1529,0.2726,0.1559,0.1916,0.059,0.2233,0.0976
1530,0.1379,0.0799,0.177,0.0507,0.4613,0.0932
1531,0.2367,0.1385,0.1972,0.0596,0.2672,0.1009
1532,0.1473,0.0867,0.1838,0.0538,0.4302,0.0982
1533,0.2353,0.1516,0.1933,0.0614,0.2551,0.1033
1534,0.155,0.0853,0.184,0.0503,0.435,0.0904
1535,0.2448,0.1418,0.1967,0.0595,0.257,0.1002
1536,0.1681,0.074,0.3214,0.0601,0.2662,0.1102
1537,0.2524,0.1578,0.1914,0.0603,0.2376,0.1005
1538,0.1556,0.0859,0.1841,0.0505,0.4332,0.0907
1539,0.1754,0.0775,0.2985,0.0594,0.2812,0.1079
1540,0.1619,0.0733,0.2958,0.0578,0.3044,0.1068
1541,0.2607,0.1667,0.1884,0.0602,0.2245,0.0996
1542,0.1793,0.0788,0.2976,0.0598,0.2766,0.108
1543,0.1784,0.0772,0.3182,0.061,0.255,0.1103
1544,0.1541,0.0882,0.1829,0.0519,0.4294,0.0935
1545,0.1994,0.084,0.3004,0.0618,0.2451,0.1092
1546,0.2436,0.1565,0.192,0.061,0.2448,0.1021
1547,0.1658,0.0752,0.2829,0.0574,0.3136,0.1052
1548,0.1747,0.0833,0.2288,0.0541,0.3621,0.097
1549,0.2613,0.1627,0.1896,0.0599,0.2272,0.0993
1550,0.1602,0.0736,0.2752,0.0562,0.3312,0.1036
1551,0.1863,0.0794,0.316,0.0616,0.2462,0.1104
1552,0.0918,0.0511,0.1382,0.0371,0.6112,0.0706
1553,0.1207,0.0579,0.3625,0.0587,0.2795,0.1207
1554,0.2093,0.0885,0.281,0.0612,0.2529,0.1072
1555,0.1587,0.0725,0.2874,0.0569,0.319,0.1054
1556,0.2629,0.1409,0.1986,0.0589,0.2403,0.0984
1557,0.1539,0.0704,0.2999,0.0573,0.3116,0.107
1558,0.1681,0.0789,0.2412,0.0544,0.3589,0.0985
1559,0.1843,0.0828,0.2658,0.0579,0.3053,0.1039
1560,0.1719,0.0763,0.3009,0.0592,0.2836,0.108
1561,0.1887,0.0809,0.3044,0.0611,0.2556,0.1093
1562,0.1899,0.0808,0.3098,0.0616,0.248,0.1099
1563,0.1969,0.0929,0.2296,0.0563,0.3251,0.0993
1564,0.2345,0.1602,0.1917,0.0628,0.2455,0.1053
1565,0.2487,0.107,0.2364,0.0598,0.2464,0.1017
1566,0.2296,0.1075,0.2235,0.0582,0.2811,0.1001
1567,0.234,0.1394,0.1965,0.0598,0.2688,0.1014
1568,0.2351,0.1022,0.2419,0.0597,0.2588,0.1024
1569,0.1617,0.0743,0.2729,0.0562,0.3316,0.1033
1570,0.2239,0.0957,0.2577,0.0603,0.258,0.1044
1571,0.159,0.0735,0.2687,0.0556,0.3409,0.1024
1572,0.2469,0.1039,0.2442,0.0603,0.2419,0.1028
1573,0.1897,0.0803,0.3158,0.062,0.2417,0.1106
1574,0.2123,0.1008,0.2243,0.0572,0.3058,0.0996
1575,0.1859,0.0844,0.2557,0.0573,0.3142,0.1024
1576,0.2176,0.1048,0.22,0.0574,0.3008,0.0994
1577,0.2384,0.1049,0.2359,0.0594,0.2598,0.1017
1578,0.2488,0.1187,0.2146,0.0586,0.2599,0.0994
1579,0.2202,0.1044,0.223,0.0577,0.2949,0.0998
1580,0.167,0.0796,0.2305,0.0534,0.3731,0.0965
1581,0.2497,0.1146,0.2208,0.0588,0.2561,0.0999
1582,0.2365,0.1537,0.1928,0.0615,0.252,0.1034
1583,0.1117,0.0591,0.3105,0.0915,0.1664,0.2608
1584,0.1958,0.0812,0.3224,0.063,0.2262,0.1114
1585,0.2078,0.0894,0.2713,0.0603,0.2654,0.1059
1586,0.259,0.1246,0.2104,0.0587,0.2485,0.0988
1587,0.2144,0.1036,0.2197,0.0572,0.306,0.0992
1588,0.1146,0.0606,0.3168,0.088,0.1824,0.2376
1589,0.2484,0.1109,0.2271,0.0591,0.2539,0.1006
1590,0.1831,0.0875,0.2267,0.0548,0.3503,0.0976
1591,0.2678,0.1614,0.1897,0.0594,0.2234,0.0983
1592,0.2037,0.0955,0.2301,0.0569,0.3139,0.0998
1593,0.092,0.048,0.1657,0.3929,0.0723,0.2292
1594,0.2453,0.1034,0.2451,0.0603,0.243,0.1029
1595,0.248,0.1038,0.2452,0.0605,0.2396,0.1029
1596,0.2562,0.1324,0.2033,0.0587,0.2507,0.0987
1597,0.17,0.0745,0.3227,0.0604,0.262,0.1104
1598,0.2525,0.1158,0.2199,0.0589,0.2532,0.0998
1599,0.2421,0.1048,0.2388,0.0597,0.2526,0.1021
1600,0.2733,0.1215,0.2165,0.059,0.231,0.0988
1601,0.1129,0.0595,0.3188,0.0886,0.1756,0.2445
1602,0.1077,0.0564,0.3176,0.0911,0.1554,0.2719
1603,0.2244,0.0978,0.2482,0.0596,0.2669,0.1031
1604,0.2505,0.1219,0.2113,0.0586,0.2586,0.0991
1605,0.2021,0.1423,0.2022,0.0707,0.2611,0.1217
1606,0.1069,0.0563,0.3024,0.0944,0.1487,0.2913
1607,0.1096,0.0571,0.3334,0.0869,0.1681,0.2448
1608,0.2748,0.1198,0.2189,0.0592,0.2283,0.099
1609,0.1093,0.0576,0.3076,0.0929,0.157,0.2755
1610,0.1968,0.0936,0.2266,0.0561,0.3281,0.0988
1611,0.1156,0.0614,0.3115,0.089,0.1833,0.2392
1612,0.1134,0.06,0.3136,0.0898,0.1747,0.2484
1613,0.2092,0.1484,0.1988,0.0685,0.2581,0.117
1614,0.2238,0.181,0.1935,0.073,0.2085,0.1202
1615,0.1147,0.0607,0.3175,0.0877,0.1838,0.2355
1616,0.2304,0.1941,0.1887,0.0713,0.1992,0.1162
1617,0.1057,0.0555,0.306,0.0937,0.1465,0.2927
1618,0.2297,0.1822,0.1902,0.0687,0.2158,0.1134
1619,0.2302,0.1928,0.189,0.0711,0.2008,0.1161
1620,0.1123,0.0596,0.305,0.0928,0.1657,0.2646
1621,0.2065,0.1516,0.2029,0.0745,0.238,0.1265
1622,0.2194,0.1733,0.1964,0.0741,0.2139,0.1228
1623,0.2089,0.156,0.2023,0.0754,0.2301,0.1273
1624,0.1142,0.0601,0.3248,0.0858,0.1862,0.229
1625,0.2316,0.1957,0.1879,0.0708,0.1986,0.1153
1626,0.2286,0.1883,0.1902,0.0712,0.205,0.1166
1627,0.2277,0.1893,0.1907,0.0724,0.2017,0.1182
1628,0.2107,0.157,0.2007,0.0735,0.234,0.1242
1629,0.2399,0.1177,0.2126,0.0583,0.2721,0.0994
1630,0.2289,0.192,0.1898,0.0721,0.1996,0.1176
1631,0.2205,0.1728,0.1955,0.0725,0.2183,0.1204
1632,0.2328,0.1859,0.1886,0.0678,0.2131,0.1118
1633,0.2168,0.1694,0.1981,0.0751,0.2158,0.1248
1634,0.2276,0.1874,0.1909,0.0718,0.2047,0.1176
1635,0.2123,0.1589,0.1996,0.0728,0.2335,0.1228
1636,0.2093,0.1492,0.199,0.0689,0.256,0.1176
1637,0.2056,0.1513,0.204,0.0758,0.2344,0.1288
1638,0.21,0.1513,0.1991,0.0697,0.2512,0.1187
1639,0.1545,0.0946,0.2151,0.0696,0.3345,0.1316
1640,0.2322,0.1947,0.1877,0.07,0.201,0.1143
1641,0.2295,0.1885,0.1897,0.0705,0.2062,0.1156
1642,0.159,0.0985,0.2099,0.0679,0.3386,0.1261
1643,0.2046,0.1449,0.2011,0.0702,0.2588,0.1204
1644,0.2246,0.1706,0.1931,0.0683,0.2293,0.114
1645,0.2016,0.1457,0.2059,0.0761,0.2404,0.1303
1646,0.1596,0.0992,0.2159,0.0714,0.3203,0.1337
1647,0.1538,0.094,0.2069,0.0654,0.3575,0.1223
1648,0.2161,0.1635,0.1975,0.0717,0.2307,0.1204
1649,0.1391,0.0819,0.2139,0.0651,0.3732,0.1268
1650,0.1543,0.0945,0.2071,0.0656,0.3561,0.1225
1651,0.2184,0.1682,0.1966,0.0722,0.2242,0.1205
1652,0.2266,0.1853,0.1916,0.0719,0.2064,0.1181
1653,0.1388,0.0798,0.256,0.0835,0.2637,0.1782
1654,0.1608,0.1003,0.2142,0.0707,0.3224,0.1317
1655,0.1397,0.0805,0.256,0.0848,0.2578,0.1812
1656,0.1404,0.0815,0.2436,0.0773,0.2979,0.1592
1657,0.23,0.1871,0.1897,0.0697,0.209,0.1146
1658,0.128,0.0743,0.1856,0.0538,0.456,0.1023
1659,0.1344,0.0777,0.2234,0.0666,0.3645,0.1334
1660,0.1411,0.0818,0.252,0.0832,0.2669,0.175
1661,0.1386,0.0799,0.2467,0.0774,0.2963,0.1611
1662,0.1602,0.0997,0.2104,0.0684,0.3345,0.1268
1663,0.1708,0.1098,0.2145,0.0735,0.2971,0.1342
1664,0.1145,0.0614,0.2945,0.0951,0.167,0.2675
1665,0.1232,0.0672,0.2891,0.0915,0.1986,0.2304
1666,0.1439,0.085,0.2322,0.074,0.3172,0.1477
1667,0.1436,0.0841,0.2473,0.0824,0.2722,0.1704
1668,0.1646,0.1039,0.2215,0.0767,0.2903,0.1431
1669,0.1403,0.0813,0.2484,0.0799,0.2837,0.1664
1670,0.1165,0.063,0.2869,0.0971,0.168,0.2685
1671,0.1691,0.1082,0.2173,0.0751,0.2922,0.1381
1672,0.1108,0.0593,0.2855,0.0985,0.1521,0.2938
1673,0.117,0.0628,0.2999,0.0921,0.1801,0.2482
1674,0.1051,0.0559,0.2777,0.1,0.1374,0.3239
1675,0.1431,0.0836,0.2508,0.0849,0.2602,0.1774
1676,0.1079,0.0575,0.2835,0.0989,0.145,0.3071
1677,0.159,0.0986,0.2258,0.0775,0.2915,0.1475
1678,0.1211,0.0663,0.2804,0.0981,0.1765,0.2577
1679,0.1247,0.0689,0.2786,0.0966,0.188,0.2432
1680,0.1597,0.0993,0.2201,0.074,0.3077,0.1393
1681,0.1138,0.0588,0.3486,0.0774,0.2081,0.1933
1682,0.1152,0.0591,0.3452,0.0707,0.2447,0.1651
1683,0.1162,0.0624,0.2956,0.0941,0.1734,0.2583
1684,0.1152,0.0623,0.2819,0.0993,0.1609,0.2804
1685,0.1342,0.0779,0.2162,0.0644,0.3801,0.1273
1686,0.1206,0.0654,0.2924,0.0925,0.1888,0.2403
1687,0.2073,0.1512,0.2016,0.0727,0.2433,0.1238
1688,0.1461,0.0864,0.2424,0.0812,0.2792,0.1647
1689,0.1197,0.0655,0.278,0.0998,0.1699,0.2672
1690,0.117,0.0608,0.3294,0.0723,0.2516,0.1689
1691,0.1282,0.0712,0.278,0.0926,0.2071,0.2228
1692,0.1299,0.0757,0.1876,0.0547,0.4483,0.1039
1693,0.1195,0.063,0.3101,0.0733,0.2644,0.1697
1694,0.1202,0.0653,0.29,0.094,0.1841,0.2465
1695,0.1189,0.0646,0.2852,0.0969,0.1741,0.2603
1696,0.1278,0.0712,0.2747,0.0963,0.1951,0.2349
1697,0.1164,0.0606,0.3346,0.0761,0.2281,0.1843
1698,0.1054,0.0559,0.2822,0.0989,0.1392,0.3184
1699,0.1154,0.0596,0.2905,0.0618,0.3391,0.1336
1700,0.1162,0.0623,0.3001,0.0925,0.177,0.252
1701,0.1224,0.0668,0.2883,0.093,0.1921,0.2375
1702,0.1181,0.062,0.2904,0.0662,0.3171,0.1462
1703,0.1169,0.0607,0.3309,0.0729,0.2469,0.1715
1704,0.1176,0.0611,0.3122,0.0682,0.2873,0.1536
1705,0.1551,0.0949,0.2277,0.077,0.2967,0.1484
1706,0.118,0.0616,0.3126,0.0695,0.2805,0.1578
1707,0.1155,0.0591,0.3409,0.0685,0.2593,0.1567
1708,0.1172,0.0613,0.2905,0.0649,0.3236,0.1424
1709,0.1166,0.0608,0.2888,0.0637,0.331,0.1391
1710,0.118,0.0618,0.3237,0.0748,0.2446,0.1772
1711,0.1101,0.0559,0.3781,0.0741,0.1979,0.1838
1712,0.1171,0.0615,0.3271,0.0794,0.2187,0.1962
1713,0.1175,0.0611,0.3232,0.071,0.2632,0.1639
1714,0.1287,0.0719,0.2735,0.0964,0.1965,0.2331
1715,0.1152,0.0592,0.3451,0.0715,0.241,0.168
1716,0.1164,0.06,0.3131,0.0653,0.3006,0.1447
1717,0.1174,0.064,0.276,0.1013,0.1622,0.279
1718,0.1173,0.0628,0.3051,0.0899,0.1865,0.2385
1719,0.1171,0.0616,0.326,0.0804,0.2145,0.2004
1720,0.1179,0.0641,0.2826,0.0984,0.1688,0.2683
1721,0.1175,0.0616,0.3272,0.077,0.2304,0.1864
1722,0.1166,0.0603,0.3326,0.0713,0.2532,0.166
1723,0.1144,0.0582,0.3538,0.0694,0.2434,0.1608
1724,0.1191,0.0626,0.3077,0.0712,0.2768,0.1626
1725,0.116,0.0608,0.3304,0.0808,0.2081,0.2039
1726,0.1132,0.0581,0.3569,0.0749,0.2133,0.1836
1727,0.1143,0.0573,0.3581,0.0649,0.2606,0.1447
1728,0.1196,0.0635,0.3139,0.0806,0.2254,0.197
1729,0.1133,0.0579,0.3604,0.0721,0.2242,0.1721
1730,0.1279,0.0707,0.2813,0.0889,0.2194,0.2116
1731,0.1224,0.0659,0.3008,0.0831,0.2261,0.2018
1732,0.1327,0.0747,0.2707,0.0912,0.2209,0.2098
1733,0.1353,0.0767,0.2659,0.0881,0.2375,0.1964
1734,0.1219,0.0657,0.3002,0.0859,0.2133,0.2131
1735,0.126,0.0692,0.2864,0.0881,0.2179,0.2124
1736,0.1348,0.0764,0.2669,0.0889,0.2336,0.1994
1737,0.1246,0.0677,0.2926,0.0828,0.2355,0.1968
1738,0.1388,0.0798,0.2599,0.0883,0.2413,0.192
1739,0.1291,0.0714,0.2786,0.0839,0.2438,0.1932
1740,0.1236,0.0673,0.2919,0.0887,0.2087,0.2197
1741,0.133,0.0748,0.27,0.0865,0.2404,0.1953
1742,0.1257,0.0688,0.2881,0.0865,0.2229,0.2078
1743,0.1273,0.0699,0.2819,0.081,0.2539,0.186
1744,0.1209,0.0649,0.304,0.0855,0.2114,0.2134
1745,0.1361,0.0774,0.2618,0.0841,0.2571,0.1835
1746,0.1258,0.0687,0.2723,0.0736,0.2967,0.1629
1747,0.1383,0.0793,0.2592,0.0857,0.252,0.1855
1748,0.127,0.0696,0.2843,0.0826,0.2444,0.1921
1749,0.1264,0.0698,0.2814,0.0926,0.203,0.2268
1750,0.1194,0.0637,0.3102,0.0846,0.2092,0.2129
1751,0.1189,0.0637,0.2619,0.0644,0.3525,0.1387
1752,0.1241,0.0673,0.2942,0.0823,0.2365,0.1956
1753,0.1244,0.0676,0.275,0.0725,0.2998,0.1608
1754,0.1261,0.0688,0.2862,0.0808,0.2508,0.1873
1755,0.1182,0.0628,0.3154,0.084,0.2066,0.213
1756,0.1238,0.0675,0.2911,0.0891,0.208,0.2205
1757,0.134,0.0756,0.2666,0.0845,0.2518,0.1875
1758,0.1227,0.066,0.2996,0.0799,0.2422,0.1896
1759,0.1318,0.0737,0.2699,0.0823,0.2585,0.1839
1760,0.1319,0.0738,0.2706,0.0836,0.2524,0.1876
1761,0.1353,0.0768,0.2574,0.0796,0.2799,0.171
1762,0.1283,0.0707,0.2793,0.0815,0.254,0.1863
1763,0.1224,0.0658,0.3012,0.082,0.2311,0.1976
1764,0.131,0.0738,0.2473,0.0717,0.3253,0.151
1765,0.1226,0.066,0.2812,0.0715,0.2992,0.1594
1766,0.127,0.0706,0.2476,0.0688,0.3405,0.1455
1767,0.1335,0.0752,0.2626,0.0801,0.2738,0.1748
1768,0.1187,0.0637,0.2595,0.064,0.3568,0.1374
1769,0.1238,0.0668,0.2923,0.0777,0.2597,0.1798
1770,0.1242,0.0676,0.2924,0.0866,0.218,0.2112
1771,0.1203,0.0646,0.2662,0.0662,0.3391,0.1436
1772,0.1346,0.0762,0.2671,0.0876,0.2383,0.1962
1773,0.1199,0.0639,0.311,0.0824,0.2192,0.2035
1774,0.1161,0.0603,0.2898,0.0629,0.334,0.1369
1775,0.128,0.0705,0.2765,0.0789,0.2682,0.1779
1776,0.1181,0.0625,0.3201,0.0811,0.2168,0.2014
1777,0.1262,0.0698,0.2529,0.0694,0.3335,0.1482
1778,0.1235,0.0665,0.2884,0.075,0.2757,0.1708
1779,0.125,0.0684,0.2639,0.0707,0.3182,0.1537
1780,0.1261,0.0692,0.2667,0.0726,0.3066,0.1588
1781,0.1168,0.0621,0.2614,0.0623,0.3635,0.1337
1782,0.189,0.1228,0.1994,0.0644,0.3113,0.1131
1783,0.178,0.1166,0.2098,0.0716,0.2954,0.1286
1784,0.2009,0.1431,0.2046,0.0735,0.2514,0.1265
1785,0.1254,0.0682,0.2838,0.0773,0.2694,0.1759
1786,0.1203,0.0637,0.3,0.072,0.2801,0.1639
1787,0.1208,0.0641,0.3043,0.0747,0.2628,0.1733
1788,0.1211,0.0654,0.2988,0.0884,0.2022,0.224
1789,0.1577,0.0971,0.2026,0.0638,0.3611,0.1177
1790,0.1275,0.0714,0.2379,0.067,0.357,0.1393
1791,0.2064,0.1429,0.1988,0.0671,0.2695,0.1153
1792,0.1306,0.073,0.275,0.0902,0.2205,0.2107
